USER,N_SWAPS,N_NFT_PURCHASES
0xcc36991fe8666c5d7cbed99ba3a16ffbe38b1377,1,412
0xa8c3c1e0cef6939b0d5145b4b6826e42852b9e8f,2,403
0x34efa9d4b93486f5eacca123927ce4ea90df605d,1,332
0x1064aa646a7aedbd40816fc0c35e044d0244a764,1,287
0xc3c923a3b298fa10238ebe39fcb2b6d5873b2463,1,244
0xaf606ed987e13149730971f0bc10b27409ad7ffc,60,225
0x1122090627b3bc98f2a1c5f1eb1ef78d7628f7ac,2,212
0x917660a684d89f4713d2e22054fec8ea2e29c11a,15,199
0xd09a4b02d7d8caf537ab36313214723b62b96810,13,196
0x87916d0aa39f520662e09b960d8172624147ebd6,6,158
0x1277f5266dead289eb6ab3f97a866f5854feb33d,15,147
0xc2b2568982707e9691dce7bb23501071bc06f415,2,138
0xb90c9f306506815495fe765d99b70603607b3186,8,133
0xdeb4df4fc041e89737f389d36058f0518390ade2,16,131
0x7853733783cdf02ea63a17c792ea9d0837b91b6d,3,127
0x0b54a3de68e0515cb85e44b4c688cb41e35335af,2,119
0x797d846bbaba901e8ca060c3b727b7e9025298c6,20,119
0x0587e41b6aa2302b2cc3b6e53e3cc50e3698fca2,1,114
0x23b3c527f6d7560669b414c8124e420dc60b1125,2,110
0x23dcf4974fda6af6b0f08dac6f1ec02a7ebfe7e6,179,109
0x7f0da2ca15056344808841eceab8d2659d98a911,5,106
0x54faad784c3addef84adecaa5ee30d3ed9abcf20,4,99
0xa6e2e910515e6cf485462eeb6e454df33c60cb0e,1,94
0xde5e3414e62a1faca7274b45872b0662314292b2,1,93
0x78542e884051776638d178f1e47e12171ba4bbcd,24,93
0x0f6e4145e878ae9047d55c5f24c7337d27a9bc89,2,90
0xc32710464bfdac8df869e889508def0f71d80666,1,85
0xea1974c5cf43aaab83d7471095d887a9d6871ec9,37,80
0xeb79f3b9836e14678abdb862aabfc171341b3199,3,79
0x388ed3f43bfdd709dc4bd1236a61c48bcf538e48,57,76
0xeeddf3665f62473bbd481d6a58e33998f24aac9c,9,72
0x1ba17a7bcc23e6ce38dd2d72824e9f1e06c508f9,27,72
0x8dfa5ece3aaa642ae4f70381ba74479371577d64,82,71
0x2bbf90555f27821d0ea64024e17d0aaf9175dd41,1,70
0x2df85a7ddbbce79f86275d09c2f613f332986427,3,69
0xd1888ea649a3144f992c9178190a7e53c21017ca,1,68
0xa099ec99966fa615c29b1ec56ce403fe655bca40,38,68
0x196f239229aae65883802b5bb512e17084147ff6,200,67
0xca177d4b3e6d4c2778912b47e6aae49b7c429819,22,66
0x11268b7b1ff187edc31ebb07e51bf034842c61b3,15,66
0x515ab16cdab0a6a72da87549f7769d7848035085,4,66
0x798c4d95f5c186ea4fa2838cda5e797a28f982e6,1,63
0x06401f513e867b58c0b825b6ac7af69b05172a72,58,61
0xb2bb37b71349ad712b5a9341780dfdf18315728a,2,60
0x1cded3ebb05080b36e142b6e969a8ca60341c3f8,6,60
0xb9ad10b590bcd2b0db23d0005b2db0d53d9a1cf0,1,59
0xac024b7fdf80c2a949619a2543f4ec8f1b48c7e0,12,59
0x4d9d2a7795b18382fab70552b31633ddf6b4a8fa,16,59
0xf3e4ea5a61f33ba6fa9cad0dc64567d646bcb7c2,1,57
0xaa22df74d79f49e26fac5c880a3d9eca54d08648,10,56
0x6a9f0ba4d040df8946699954edb9a26b740dca81,3,55
0xdfe81df9ff27a7200240695e93bdb6cc5f9f60e6,1,54
0x673fa79dc52cc5c6bd673c6ba65944bd16fcd2fc,2,54
0x911b8ed54cb42bc4633391c8baf522e195e1d994,5,53
0xf70da97812cb96acdf810712aa562db8dfa3dbef,81,52
0x822d5bcf95a51fdeaa6787b63ebd130204a6c021,34,52
0xbec69dfce4c1fa8b7843fee1ca85788d84a86b06,28,51
0x6f435a9421653b27f048957b8ba2092d65a711f9,28,51
0x295655684e3aee1486d2fd77868727dc75eac501,2,50
0xf76246b0842c92ad5bd745973ca9eb85b937b126,1,50
0x26d7b4fe67f4601643304b5023b3caf3a72e8504,18,50
0x22cbde853a50db5a036e5d62b1c82490465557c0,1,50
0xe70fdbfea3acc4043fa0ad40796465799b1ffea9,1,49
0x1d7b087234d89510be132f8835c04d696be4f43a,10,47
0xee032424e7fad60517a11d4c9525146de6c13def,5,46
